#  Check service error translations
"billink_order_error_code_442","Wrong mandate type format, should be: \""FIRST\"", \""RECURRING\"", \""ONETIME\"""
"billink_order_error_code_443","Provide a valid IBAN / account number"
"billink_order_error_code_444","Order amount is greater than requested"
"billink_order_error_code_445","Check request given UUID has already expired"
"billink_order_error_code_446","Check request given UUID has already been used"
"billink_order_error_code_447","Missing check request UUID"
"billink_order_error_code_448","Company name must be between 2 and 50 characters long"
"billink_order_error_code_449","Phone number may only contain numbers"
"billink_order_error_code_450","House number extension must be between 0 and 10 characters long"
"billink_order_error_code_451","Workflow without guarantee is used for check request."
"billink_order_error_code_452","Amount is higher than agreed."
"billink_order_error_code_453","Minimum age for ordering via Billink is 18."

"Workflow Type","Workflow Type"
From,From
To,To
Amount,Amount
Type,Type
Number,Number
"Max Amount","Max Amount"
"With Check?","With Check?"
Yes,Yes
No,No
"Payment Fee","Payment Fee"
"Missing UUID","Missing UUID"
Private,Private
Business,Business
"Please contact your system administrator with a code 5001","Please contact your system administrator with a code 5001"
"Please contact your system administrator with a code 5002","Please contact your system administrator with a code 5002"
"Please contact your system administrator with a code 5003","Please contact your system administrator with a code 5003"
"Please contact your system administrator with a code 5004","Please contact your system administrator with a code 5004"
"The Billink workflow for order %1 has started","The Billink workflow for order %1 has started"
"The start of the Billink workflow failed. Log in via the Billink portal to start the workflow from there.","The start of the Billink workflow failed. Log in via the Billink portal to start the workflow from there."
"Order totals do not match. ID: %d ; Calculated: %s ; QuoteTotal: %s ","Order totals do not match. ID: %d ; Calculated: %s ; QuoteTotal: %s "
"Order totals do not match","Order totals do not match"
"Chamber of commerce","Chamber of commerce"
Man,Man
Female,Female
Birthdate,Birthdate
"Street name","Street name"
"House number","House number"
"House extension","House extension"
"Delivery Address","Delivery Address"
"Delivery street name","Delivery street name"
"Delivery house number","Delivery house number"
"Delivery house Extension","Delivery house Extension"
"Add after","Add after"
"Checking module version...","Checking module version..."
"Billink Billing Information","Billink Billing Information"
Woman,Woman
Birthday,Birthday
"Delivery house extension","Delivery house extension"
"Place Order","Place Order"
"There was an error from server. Please refresh the page.","There was an error from server. Please refresh the page."
"Version %1 is available!","Version %1 is available!"
Billink,Billink
Version,Version
Enabled,Enabled
Title,Title
Logo,Logo
"Sort Order","Sort Order"
"Billink Account Name","Billink Account Name"
"Billink Account ID","Billink Account ID"
"Debug Mode","Debug Mode"
"If 'Yes' is selected, orders are sent to the Billink test environment. Select 'No' to use a normal production site.","If 'Yes' is selected, orders are sent to the Billink test environment. Select 'No' to use a normal production site."
"Enable Backdoor Option","Enable Backdoor Option"
"Lets you determine what should be the result of the Billink credit check when the system is in Test mode.","Lets you determine what should be the result of the Billink credit check when the system is in Test mode."
"Workflow List","Workflow List"
"Is Alternate Delivery Address Allowed?","Is Alternate Delivery Address Allowed?"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment From Specific Countries","Payment From Specific Countries"
"Order Total Check","Order Total Check"
"Billink Fee Active","Billink Fee Active"
"Billink Fee Label","Billink Fee Label"
"Billink Fee Type","Billink Fee Type"
"Billink Fee Tax Class","Billink Fee Tax Class"
"Billink Fee Ranges","Billink Fee Ranges"
"I agree with the terms and conditions of Billink","I agree with the terms and conditions of Billink"
"I agree with","I agree with"
"the terms and conditions of Billink","the terms and conditions of Billink"
"You must be at least 18+ to use this service. If you pay on time, you will avoid additional costs and ensure that you can use Billink's services again in the future.","You must be at least 18+ to use this service. If you pay on time, you will avoid additional costs and ensure that you can use Billink's services again in the future."
"Dutch B2C fee should always be zero","Dutch B2C fee should always be zero"
"Dutch B2C fee should always be zero, but 'Other' setting sets it","Dutch B2C fee should always be zero, but 'Other' setting sets it"
"Street and housenumber","Street and housenumber"
"City and postcode","City and postcode"
"Something went wrong with creating session. Please contact customer support of Billink.","Something went wrong with creating session. Please contact customer support of Billink."
