#  Check service error translations
"There was an error from server. Please refresh the page.","Es gab einen Serverfehler. Bitte aktualisieren Sie die Seite."
"Title","Titel"
"To","An"
"Type","Typ"
"Version %1 is available!","Version %1 ist verfügbar!"
"Version","Version"
"With Check?","Mit Prüfung?"
"Woman","Weiblich"
"Workflow List","Workflow-Liste"
"Workflow Type","Workflow-Typ"
"Yes","Ja"
"Invoice e-mail address","Rechnungs-E-Mail-Adresse"
